震级,日期,时间,纬度,经度,深度,地点
3.9,2023-10-28,01:10:54,36.52,83.78,10,新疆和田地区民丰县
3.2,2023-10-28,00:16:38,31.50,88.26,10,西藏那曲市申扎县
2.9,2023-10-27,13:03:04,39.48,97.31,10,甘肃酒泉市肃北县
3.7,2023-10-27,12:38:02,36.51,83.80,10,新疆和田地区民丰县
5.4,2023-10-27,05:49:34,-28.70,-70.35,100,智利
5.4,2023-10-27,03:00:20,-7.25,27.60,10,刚果（金）
3.3,2023-10-27,02:34:17,37.74,101.43,8,青海海北州门源县
5.8,2023-10-27,00:05:12,55.90,164.80,10,科曼多尔群岛
5.5,2023-10-26,13:44:19,-7.40,129.20,140,印尼班达海
3.0,2023-10-26,04:18:30,36.51,83.78,10,新疆和田地区民丰县
4.1,2023-10-26,02:35:36,36.53,83.77,10,新疆和田地区民丰县
3.7,2023-10-26,02:03:34,39.30,97.27,11,甘肃酒泉市肃北县
3.0,2023-10-26,00:38:21,36.49,83.77,10,新疆和田地区民丰县
3.1,2023-10-26,00:35:18,36.51,83.79,10,新疆和田地区民丰县
3.0,2023-10-25,23:55:28,36.53,83.77,10,新疆和田地区民丰县
4.0,2023-10-25,23:52:13,36.51,83.78,10,新疆和田地区民丰县
3.1,2023-10-25,23:50:12,36.51,83.79,10,新疆和田地区民丰县
3.3,2023-10-25,19:34:14,36.51,83.77,10,新疆和田地区民丰县
4.0,2023-10-25,12:48:49,43.15,127.89,10,吉林延边州敦化市
3.1,2023-10-25,03:33:56,39.31,97.28,10,甘肃酒泉市肃北县
3.6,2023-10-25,02:02:44,33.71,87.62,10,西藏那曲市双湖县
3.1,2023-10-25,01:00:06,36.51,83.78,10,新疆和田地区民丰县
5.5,2023-10-24,19:32:13,39.43,97.28,10,甘肃酒泉市肃北县
3.3,2023-10-24,11:50:35,41.25,83.82,10,新疆阿克苏地区库车市
4.4,2023-10-24,10:54:24,24.03,122.61,10,台湾花莲县海域
5.9,2023-10-24,07:05:20,23.96,122.83,10,台湾花莲县海域
3.2,2023-10-24,06:47:22,31.37,86.61,10,西藏那曲市尼玛县
